Epoch:66	 lr:0.002	 duration:25.725	train_acc:49.16	train_loss:0.008939	 test_acc:0.01	 test_loss:85.490000
Epoch:67	 lr:0.001	 duration:23.464	train_acc:47.81	train_loss:0.008596	 test_acc:0.01	 test_loss:85.590000
Epoch:68	 lr:0.001	 duration:26.190	train_acc:50.32	train_loss:0.008688	 test_acc:0.01	 test_loss:85.810000
Epoch:69	 lr:0.000	 duration:24.044	train_acc:47.59	train_loss:0.008557	 test_acc:0.01	 test_loss:85.870000
Epoch:70	 lr:0.100	 duration:25.303	train_acc:44.47	train_loss:0.010096	 test_acc:0.01	 test_loss:75.330000
Epoch:71	 lr:0.100	 duration:26.359	train_acc:46.83	train_loss:0.010319	 test_acc:0.01	 test_loss:76.370000
Epoch:72	 lr:0.100	 duration:25.302	train_acc:43.95	train_loss:0.010016	 test_acc:0.01	 test_loss:78.570000
Epoch:73	 lr:0.100	 duration:24.600	train_acc:43.77	train_loss:0.010049	 test_acc:0.01	 test_loss:79.780000
Epoch:74	 lr:0.099	 duration:26.425	train_acc:45.03	train_loss:0.009963	 test_acc:0.01	 test_loss:78.760000
Epoch:75	 lr:0.099	 duration:24.747	train_acc:44.51	train_loss:0.009994	 test_acc:0.01	 test_loss:79.380000
Epoch:76	 lr:0.099	 duration:26.492	train_acc:45.27	train_loss:0.010055	 test_acc:0.01	 test_loss:80.140000
Epoch:77	 lr:0.098	 duration:25.862	train_acc:44.83	train_loss:0.009740	 test_acc:0.01	 test_loss:78.410000
Epoch:78	 lr:0.098	 duration:25.425	train_acc:44.13	train_loss:0.009860	 test_acc:0.01	 test_loss:80.360000
Epoch:79	 lr:0.097	 duration:25.875	train_acc:45.91	train_loss:0.009606	 test_acc:0.01	 test_loss:80.230000
Epoch:80	 lr:0.096	 duration:26.633	train_acc:46.17	train_loss:0.009758	 test_acc:0.01	 test_loss:80.400000
Epoch:81	 lr:0.095	 duration:25.985	train_acc:44.47	train_loss:0.009712	 test_acc:0.01	 test_loss:80.840000
Epoch:82	 lr:0.095	 duration:23.867	train_acc:46.04	train_loss:0.009896	 test_acc:0.01	 test_loss:79.950000
Epoch:83	 lr:0.094	 duration:24.675	train_acc:44.97	train_loss:0.009763	 test_acc:0.01	 test_loss:80.410000
Epoch:84	 lr:0.093	 duration:26.486	train_acc:48.81	train_loss:0.009474	 test_acc:0.01	 test_loss:82.510000
Epoch:85	 lr:0.092	 duration:27.037	train_acc:46.64	train_loss:0.009668	 test_acc:0.01	 test_loss:81.070000
Epoch:86	 lr:0.090	 duration:26.800	train_acc:46.14	train_loss:0.009789	 test_acc:0.01	 test_loss:81.070000
Epoch:87	 lr:0.089	 duration:25.733	train_acc:42.77	train_loss:0.009624	 test_acc:0.01	 test_loss:81.870000
Epoch:88	 lr:0.088	 duration:26.468	train_acc:43.98	train_loss:0.009971	 test_acc:0.01	 test_loss:81.720000
Epoch:89	 lr:0.087	 duration:25.340	train_acc:44.59	train_loss:0.009757	 test_acc:0.01	 test_loss:81.190000
Epoch:90	 lr:0.085	 duration:25.464	train_acc:44.78	train_loss:0.009761	 test_acc:0.01	 test_loss:82.190000
Epoch:91	 lr:0.084	 duration:25.560	train_acc:46.19	train_loss:0.009674	 test_acc:0.01	 test_loss:82.490000
Epoch:92	 lr:0.082	 duration:26.317	train_acc:47.62	train_loss:0.009188	 test_acc:0.01	 test_loss:80.880000
Epoch:93	 lr:0.081	 duration:26.553	train_acc:45.79	train_loss:0.009351	 test_acc:0.01	 test_loss:82.660000
